report_date,context,branch,division,group,description,barcode,qty,total_amount
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY PISTACHIO,,116.0,165911350.84
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY THE ONE,,870.0,1088793241.51
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY THE ORIGINAL,,182.0,216924324.11
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY TRIPLE CHOCOLATE,,167.0,218950540.08
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHOCOLATE CHIPS RINGS,,2.0,953513.5
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CINNAMON SUGAR RINGS,,5.0,2085810.78
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CLASSIC CHIMNEY,,260.0,154945947.7
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT BERRY MIX,,134.0,119785135.51
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT BITES,,61.0,39987973.34
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT BOSTON CHEESECAKE,,82.0,75799027.17
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT COMBO,,18.0,49344324.2
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT PISTACHIO,,104.0,105363243.37
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT THE ONE,,554.0,495231082.62
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT THE ORIGINAL,,374.0,323429136.08
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CONUT TRIPLE CHOCOLATE,,184.0,170085621.94
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,ICE CREAM BOWL,,142.0,84624325.28
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI BERRY MIX,,49.0,24853594.95
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI BOSTON CHEESECAKE,,40.0,21454053.77
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI PISTACHIO,,36.0,22550594.8
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI THE ONE,,153.0,77604082.2
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI THE ORIGINAL,,100.0,47675675.04
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,MINI TRIPLE CHOCOLATE,,48.0,25744864.52
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,PISTACHIO CHIMNEY,,14.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,PISTACHIO CONUT,,18.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,PISTACHIO MINI,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,THE ONE CHIMNEY,,14.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,THE ONE CONUT,,18.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,THE ONE MINI,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,THE SHARING BOX.,,41.0,68414594.87
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE CHIMNEY,,14.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE CONUT,,18.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,TRIPLE CHOCOLATE MINI,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,NO MARSHMALLLOWS,,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MARSHMALLOW OPTIONS,MARSHMALLOW OPTIONS,TOASTED MARSHMALLOWS,,2.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,MILK OPTIONS,MILK OPTIONS,FULL FAT MILK,,147.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MILK OPTIONS,MILK OPTIONS,LACTOSE FREE MILK.,,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MILK OPTIONS,MILK OPTIONS,MILK OPTIONS,,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MILK OPTIONS,MILK OPTIONS,SKIMMED MILK.,,15.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BLUEBERRIES (P),,15.0,1787837.81
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,BROWNIES (R),,10.0,900540.52
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CHERRY JAM (P),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRISPY CREPE (R),,3.0,270162.16
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED LOTUS (R),,2.0,180108.1
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,CRUSHED OREO (R),,6.0,540324.31
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,DARK CHOCOLATE CHIPS (P),,2.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,FRUIT LOOPS (R),,4.0,360216.21
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GRANOLA BERRIES (P),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,GUMMY BEARS (R),,7.0,630378.37
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,LOTUS SAUCE (R),,3.0,270162.16
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,MARSHMALLOWS (R),,6.0,540324.31
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,NUTELLA SAUCE (R),,12.0,1080648.63
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,PISTACHIO SAUCE (P),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRIES (P),,13.0,1549459.44
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,RASPBERRY JAM (P),,3.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SALTED CARAMEL SAUCE (R),,0.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,SPRINKLES (R),,6.0,540324.31
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,STRAWBERRIES (R),,33.0,2971783.72
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,WHIPPED CREAM (P),,3.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,"WHITE CHOCOLATE SAUCE, (R)",,5.0,450270.26
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,DOUBLE CHOCOLATE MILKSHAKE,,4.0,3098918.94
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,FRUIT LOOPS MILKSHAKE,,1.0,774729.73
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,GRANOLA BERRIES MILKSHAKE,,2.0,1549459.47
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,OREO MILKSHAKE,,19.0,13587567.67
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,PISTACHIO MILKSHAKE,,4.0,3575675.69
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,SALTED CARAMEL MILKSHAKE,,8.0,6197837.87
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,STRAWBERRY MILKSHAKE,,12.0,8581621.68
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,TOFFEE NUT MILKSHAKE,,3.0,2324189.2
30-Jan-26,Years:2025 Months:0,Conut,Shakes,Shakes,VANILLA MILKSHAKE,,14.0,7508918.82
30-Jan-26,Years:2025 Months:0,Conut,coffee type,coffee type,DECAF,,8.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,coffee type,coffee type,REGULAR.,,126.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,CARAMEL DIP.(R),,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,CHERRY JAM DIP.(P),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,DARK CHOCOLATE DIP.(R),,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,LOTUS DIP.(R),,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,NUTELLA DIP.(R),,42.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,PISTACHIO DIP.(P),,3.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,SALTED CARAMEL DIP.(R),,5.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free dip,free dip,WHITE CHOCOLATE DIP.(R),,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free mini spread,FREE MINI SPREAD,LOTUS SPREAD MINI.,,12.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free mini spread,FREE MINI SPREAD,NO SPREAD .,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free mini spread,FREE MINI SPREAD,NUTELLA SPREAD MINI.,,284.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,free mini spread,FREE MINI SPREAD,PISTACHIO SPREAD MINI.,,1.0,30459.46
30-Jan-26,Years:2025 Months:0,Conut,free mini spread,FREE MINI SPREAD,WHITE CHOCOLATE SPREAD MINI.,,53.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Bev Add-ons,Bev Add-ons,"CARAMEL SAUCE,",,2.0,180108.1
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Bev Add-ons,Bev Add-ons,VANILLA SYRUP,,3.0,270162.16
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BLUEBERRIES.,,43.0,10250270.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,BROWNIES.,,36.0,6436216.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CARAMEL SAUCE.,,4.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CHERRY JAM.,,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRISPY CREPE.,,4.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED LOTUS.,,14.0,2502972.94
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,CRUSHED OREO.,,30.0,5363513.44
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE CHIPS.,,8.0,1907027.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,DARK CHOCOLATE SAUCE.,,9.0,1609054.03
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,FRUIT LOOPS.,,5.0,893918.91
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GRANOLA BERRIES.,,2.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,GUMMY BEARS.,,16.0,2860540.5
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,LOTUS SAUCE.,,19.0,3396891.85
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,MARSHMALLOWS.,,29.0,5184729.66
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,NUTELLA SAUCE.,,65.0,11620945.79
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PEANUT BUTTER CUPS.,,2.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,PISTACHIO SAUCE.,,25.0,5959459.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRIES.,,15.0,3575675.63
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,RASPBERRY JAM.,,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SALTED PRETZELS.,,2.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,SPRINKLES.,,8.0,1430270.25
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,STRAWBERRY.,,168.0,30035675.28
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,WHIPPED CREAM.,,8.0,1907027.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,AFFOGATO,,1.0,536351.34
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,HOT CHOCOLATE,,4.0,1907027.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,CONUT''S FAVORITE,CONUT''S FAVORITE,MATCHA LATTE,,3.0,1787837.86
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Conuts,Conuts,NO CINNAMON,,9.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,DRINK TYPE,DRINK TYPE,HOT,,142.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,DRINK TYPE,DRINK TYPE,ICED,,19.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Delivery Service,Delivery,DELIVERY CHARGE,,83.0,19785405.14
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Delivery Service,Delivery,DONT SEND CUTLERY,,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Delivery Service,Delivery,SEND CUTLERY,,2.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Delivery Service,Delivery,TAKE AWAY,,20.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,LOTUS SPREAD CHIMNEY,,11.0,1966621.6
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,"NO SPREAD,,",,271.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,NUTELLA SPREAD CHIMNEY,,16.0,2860540.5
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,PISTACHIO SPREAD CHIMNEY,,2.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CHIMNEY SPREAD,EXTRA CHIMNEY SPREAD,WHITE CHOCOLATE SPREAD CHIMNEY,,2.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,LOTUS SPREAD CONUT,,3.0,270162.16
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NO SPREAD..,,427.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,NUTELLA SPREAD CONUT,,16.0,1440864.84
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,PISTACHIO SPREAD CONUT,,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA CONUT SPREAD,EXTRA CONUT SPREAD,WHITE CHOCOLATE SPREAD CONUT,,2.0,180108.1
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,CARAMEL DIP (R),,2.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,CHERRY JAM DIP (P),,2.0,476756.75
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,DARK CHOCOLATE DIP (R),,3.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,LOTUS DIP (R),,1.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,NUTELLA DIP (R),,6.0,715135.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,PISTACHIO DIP (P),,5.0,1191891.88
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,RASPBERRY JAM DIP (P),,1.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA DIP,EXTRA DIP,WHITE CHOCOLATE DIP (R),,2.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,"NO SPREAD,.",,129.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,EXTRA MINI SPREAD,EXTRA MINI SPREAD,NUTELLA SPREAD MINI,,6.0,357567.56
30-Jan-26,Years:2025 Months:0,Conut - Tyre,Extras and Sides,Extras and Sides,ADD ICE CREAM,,183.0,87246485.32
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"BLUEBERRIES , (P)",,27.0,1609054.03
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,BROWNIES . (R),,370.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CARAMEL SAUCE, (R)",,432.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CHERRY JAM ,(P)",,2.0,119189.19
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"CRISPY CREPE,(R)",,2.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED LOTUS .(R),,54.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,CRUSHED OREO .(R),,16.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"DARK CHOCOLATE CHIPS ,(P)",,7.0,417162.16
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"DARK CHOCOLATE SAUCE,(R)",,7.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"FRUIT LOOPS,(R)",,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"GRANOLA BERRIES ,(P)",,1.0,59594.59
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"GUMMY BEARS ,(R)",,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"LOTUS SAUCE,(R)",,16.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"MARSHMALLOWS,(R)",,10.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,NO TOPPINGS,,30.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"NUTELLA SAUCE,(R)",,577.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PASSION FRUIT SAUCE,(P)",,1.0,59594.59
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PISTACHIO SAUCE ,(P)",,63.0,3754459.41
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"PISTACHIO TOPPING,",,155.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"RASPBERRIES ,(P)",,4.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"RASPBERRY JAM,(P)",,4.0,238378.38
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,SPRINKLES .(R),,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"STRAWBERRY,(R)",,869.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"SWITCH TO ICE CREAM,",,7.0,1668648.63
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"WHIPPED CREAM ,",,70.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,"WHIPPED CREAM,",,3.0,178783.78
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CHIMNEY TOP,FREE CHIMNEY TOP,WHITE CHOCOLATE SAUCE .(R),,11.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"BLUEBERRIES, (P)",,58.0,1766648.59
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"BROWNIES , (R)",,824.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"CARAMEL SAUCE , (R)",,586.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"CHERRY JAM, (P)",,6.0,182756.75
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,CRISPY CREPE . (R),,16.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"CRUSHED LOTUS , (R)",,167.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"CRUSHED OREO, (R)",,46.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"DARK CHOCOLATE CHIPS, (P)",,25.0,761486.46
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"DARK CHOCOLATE SAUCE , (R)",,4.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,FRUIT LOOPS . (R),,15.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"GRANOLA BERRIES, (P)",,22.0,670108.08
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,GUMMY BEARS . (R),,46.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"LOTUS SAUCE , (R)",,47.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"MARSHMALLOWS , (R)",,68.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,NO TOPPINGS.,,75.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,NUTELLA SAUCE . (R),,1216.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"PASSION FRUITS SAUCE ,(P)",,9.0,274135.13
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"PEANUT BUTTER CUP , (P)",,4.0,121837.83
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO SAUCE . (P),,95.0,2893648.55
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,PISTACHIO TOPPING,,266.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"RASPBERRIES, (P)",,15.0,456891.88
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"RASPBERRY JAM , (P)",,13.0,395972.96
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,SALTED CARAMEL SAUCE . (R),,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut - Tyre,FREE CONUT TOP,FREE CONUT TOP,"SALTED PRETZELS , (R)",,1.0,0.0
